,patent_no,url,title,issue_date,date,num_patent,num_inventor,num_pc,num_npc,num_rb,num_class,num_le
39,9604267,https://www.google.com/patents/US9604267,Method for producing magnesium alloy sheet and magnesium alloy coil stock,3/28/17,28-Mar-17,10097,2,24,5,0,9,1
40,9603728,https://www.google.com/patents/US9603728,Bioerodible magnesium alloy microstructures for endoprostheses,3/28/17,28-Mar-17,10096,7,72,46,0,12,1
41,9601979,https://www.google.com/patents/US9601979,"Alloy material for R-T-B system rare earth permanent magnet, method for producing R-T-B system rare earth permanent magnet, and motor",3/21/17,21-Mar-17,10095,2,20,6,0,23,1
42,9601978,https://www.google.com/patents/US9601978,Aluminum alloy rotor for an electromagnetic device,3/21/17,21-Mar-17,10094,4,11,1,0,8,3
43,9599099,https://www.google.com/patents/US9599099,Thermal-powered device using memory alloy sheets,3/21/17,21-Mar-17,10093,2,11,0,0,2,1
44,9598749,https://www.google.com/patents/US9598749,"Rolled magnesium alloy material, magnesium alloy structural member, and method for producing rolled magnesium alloy material",3/21/17,21-Mar-17,10092,6,18,7,0,14,1
45,9597754,https://www.google.com/patents/US9597754,"Copper or copper alloy, bonding wire, method of producing the copper, method of producing the copper alloy, and method of producing the bonding wire",3/21/17,21-Mar-17,10091,1,42,4,0,62,1
46,9595282,https://www.google.com/patents/US9595282,Magnetic recording medium having a L10-type ordered alloy,3/14/17,14-Mar-17,10090,2,14,1,0,2,2
47,9593398,https://www.google.com/patents/US9593398,Hardened cobalt based alloy jewelry and related methods,3/14/17,14-Mar-17,10089,2,26,23,0,17,0
48,9593397,https://www.google.com/patents/US9593397,Magnesium alloy with adjustable degradation rate,3/14/17,14-Mar-17,10088,4,20,63,0,11,2
49,9592772,https://www.google.com/patents/US9592772,"Zn_‹ÓAl_‹ÓMg based alloy hot-dip plated steel sheet, and method for producing the same",3/14/17,14-Mar-17,10087,5,13,0,0,41,1
50,9592135,https://www.google.com/patents/US9592135,Radiopaque enhanced cobalt alloy for stents,3/14/17,14-Mar-17,10086,1,33,1,0,8,1
51,9590105,https://www.google.com/patents/US9590105,"Semiconductor device with metal alloy over fin, conductive layer over channel region of fin, and semiconductive layer over conductive layer and formation thereof",3/7/17,7-Mar-17,10085,3,74,2,0,6,1
52,9587770,https://www.google.com/patents/US9587770,"´± + ´_ type titanium alloy sheet for welded pipe, manufacturing method thereof, and ´± + ´_ type titanium alloy welded pipe product",3/7/17,7-Mar-17,10084,3,21,2,0,8,1
53,9587320,https://www.google.com/patents/US9587320,"Additive for acid zinc alloy plating bath, acid zinc alloy plating bath, and method for producing zinc alloy plated article",3/7/17,7-Mar-17,10083,2,10,0,0,4,1
54,9587299,https://www.google.com/patents/US9587299,"Copper alloy for electronic equipment, method for producing copper alloy for electronic equipment, rolled copper alloy material for electronic equipment, and part for electronic equipment",3/7/17,7-Mar-17,10082,2,37,33,0,10,1
